member_id,member_name,birth_date,gender,phone_number,email_address,address,active_flag,inactive_flag,registration_date
1,石川 治,1961-12-22,男性,72-1111-1637,miki40@tanaka.com,大分県印西市箭坪12丁目22番3号 アーバン土呂部547,アクティブ,,2024-02-03
2,山口 洋介,1960-08-29,男性,090-3785-8257,taichi84@takahashi.jp,茨城県杉並区日光1丁目7番11号 シャルム湯本塩原365,アクティブ,,2024-09-16
3,森 浩,1972-06-18,男性,070-1563-2334,gyamamoto@suzuki.org,京都府鴨川市中小来川5丁目18番11号 東浅草シャルム206,,非アクティブ,2024-02-04
4,中島 知実,1995-09-30,男性,51-1333-4665,csuzuki@takahashi.net,奈良県印西市港南9丁目24番16号,,非アクティブ,2024-04-21
5,渡辺 健一,1996-02-15,女性,070-8915-4312,yokokimura@gmail.com,山梨県昭島市太田ヶ谷7丁目6番14号 コーポ港南987,アクティブ,,2024-02-23
6,鈴木 英樹,1979-07-05,男性,090-7270-9252,mikako01@hotmail.com,愛知県世田谷区千塚35丁目27番16号 シティ油井820,アクティブ,,2024-09-19
7,近藤 七夏,2005-06-11,女性,27-8835-4665,satomi37@gmail.com,山口県青ヶ島村柿木沢新田25丁目21番10号,アクティブ,,2024-03-03
8,吉田 真綾,2005-09-29,女性,070-7579-8226,kobayashikazuya@hotmail.com,京都府長生郡一宮町脚折町29丁目5番3号 パレス津久戸町294,,非アクティブ,2024-06-06
9,田中 稔,2002-01-15,男性,24-0337-7620,nakagawasotaro@gmail.com,静岡県日野市土呂部37丁目26番19号 シティ千束415,アクティブ,,2024-03-07
10,鈴木 亮介,1987-04-29,女性,74-3160-8262,kobayashitsubasa@hotmail.com,石川県横浜市鶴見区平河町34丁目1番18号,,非アクティブ,2024-09-04
11,藤原 陽子,1976-05-09,男性,070-7027-9566,yamamotonaoki@hotmail.com,福井県新宿区無栗屋36丁目21番17号,,非アクティブ,2024-01-20
12,山田 治,2002-07-05,男性,53-5024-7966,ryosukeaoki@yahoo.com,鳥取県我孫子市中小来川28丁目14番3号,アクティブ,,2024-04-14
13,青木 七夏,1996-09-03,女性,090-1810-2933,nakamurakumiko@aoki.jp,新潟県世田谷区南赤田18丁目19番20号,アクティブ,,2024-03-05
14,藤田 英樹,1988-11-21,女性,080-6381-3516,okadatomoya@hotmail.com,大分県中野区西神田9丁目14番13号 ハイツ戸山407,,非アクティブ,2024-03-16
15,山口 陽子,2001-06-26,女性,080-7442-8385,ryohei97@sato.com,福島県東大和市手岡39丁目21番3号 パレス台場456,アクティブ,,2024-09-05
16,藤井 加奈,1965-01-28,女性,080-1178-1928,osamu43@gmail.com,鳥取県八街市柿木沢33丁目17番6号 ハイツ秋葉原904,アクティブ,,2024-05-01
17,青木 春香,1960-09-04,女性,71-5986-1429,fnishimura@gmail.com,神奈川県長生郡長南町台東1丁目15番7号 パレス南赤田205,アクティブ,,2024-11-02
18,小川 くみ子,1960-07-18,女性,85-9693-0905,paoki@gmail.com,兵庫県我孫子市無栗屋10丁目4番12号 シャルム土呂部225,アクティブ,,2024-02-02
19,斎藤 裕太,1981-05-09,男性,03-8108-0419,hashimotoyuta@kondo.jp,沖縄県御蔵島村猿楽町19丁目11番16号,,非アクティブ,2024-08-19
20,長谷川 香織,1982-10-10,女性,070-2441-6269,nanami39@hotmail.com,長野県三宅島三宅村上高野14丁目1番19号 コート幸手328,,非アクティブ,2024-03-10
